sha256_hashed_ip,event_timestamp_utc,category,subcategory,event_json,digital_remedy_channel,digital_remedy_customer_ntf_status,Digital Remedy Customer Ltv
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 08:22:38 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603574""}",Pablo,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 08:46:41 UTC,checkout,,"{""amount"":""186"",""account_id"":""7603579""}",Other MKT Hardcoded Link,no,632.17
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 08:52:26 UTC,checkout,,"{""amount"":""281"",""account_id"":""7603584""}",Facebook,yes,281.11
892dd53a182e6d0cbed6ab13e06d9eceea6f541b3d33cf420dba4cc2aa5fcac4,2022-11-13 08:58:17 UTC,checkout,,"{""amount"":""23"",""account_id"":""500273"")",Other,no,243.71
46e6020dac163d50268523b9a79d345135b2c4877805bd157e52034240fc4702,2022-11-13 09:23:34 UTC,checkout,,"{""amount"":""376"",""account_id"":""500274"")",Google,no,893.87
96c56cff8c6625fba9548bf4d7d80f4d375d47a32185761c307187cf4262c395,2022-11-13 09:28:08 UTC,checkout,,"{""amount"":""40"",""account_id"":""500275"")",Bing,no,1209.8
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 09:35:08 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603585""}",MKT,no,352.68
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 09:41:32 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603586""}",Facebook,yes,36.72
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 09:54:32 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603590""}",Google,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 09:56:26 UTC,checkout,,"{""amount"":""4"",""account_id"":""7603591""}",Other MKT Hardcoded Link,no,468.29
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 10:07:17 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603592""}",Pablo,yes,36.72
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 10:12:46 UTC,checkout,,"{""amount"":""281"",""account_id"":""7603593""}",Pablo,yes,281.11
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 10:18:39 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603598""}",Google,yes,36.72
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 10:38:13 UTC,checkout,,"{""amount"":""186"",""account_id"":""7603599""}",Other MKT Hardcoded Link,no,2874.11
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 10:50:03 UTC,checkout,,"{""amount"":""281"",""account_id"":""7603600""}",Facebook,yes,376.68
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 10:51:33 UTC,checkout,,"{""amount"":""281"",""account_id"":""7603601""}",Facebook,yes,281.11
fab9edd101ba7d997df7fb52899644fcadf26fcd279ea09351dd6311efae3ac9,2022-11-13 10:53:30 UTC,checkout,,"{""amount"":""52"",""account_id"":""500276"")",Google,yes,104.7
111cb3c3395b4bd6ff81335289fa28bcc8bd0421c46d2fbc18b500b4e6a000a8,2022-11-13 10:54:46 UTC,checkout,,"{""amount"":""347"",""account_id"":""500277"")",Other,no,1491.44
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 10:59:42 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603602""}",Pablo,yes,36.72
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 10:59:54 UTC,checkout,,"{""amount"":""1171"",""account_id"":""7603603""}",Other MKT Hardcoded Link,no,2874.11
5237c70aace827357faf85c028c610cc75fb1096ea9dcbe5869490bef71240ec,2022-11-13 10:59:54 UTC,checkout,,"{""amount"":""52"",""account_id"":""500278"")",Google,yes,103.95
ba08a6e4d27f478baf24c40a2a554bec11dfc0bc768317b3843426e2bd80210e,2022-11-13 11:02:50 UTC,checkout,,"{""amount"":""52"",""account_id"":""500279"")",Other,no,17323.36
